lobbyist_action,uid,registrant_name,organization,employer,nature_of_business,subj_num1,subj_1,desc_1,subj_num2,subj_2,desc_2,subj_num_3,subj_3,desc_3,subj_num4,subj_4,desc_4,subj_num5,subj_5,desc_5
"Matters impacting commercial recycling and remediation, matters of corporate tax policy, matters of employment law, and matters of campaign finance law.",A022381, Jenna  McGreevy, Perry White Ross & Jacobson, Republic Services, Recycling,1,Other,Recycling,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations, and corporate tax and governance policy.",A022383, Jenna  McGreevy, Perry White Ross & Jacobson, Warfield Companies, Real estate development,1,Real Property,,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations, and corporate tax and governance policy.",A022383, Jenna  McGreevy, Perry White Ross & Jacobson, Warfield Companies, Real estate development,1,Real Property,,,,,,,,,,,,,
Matters impacting sports betting legislation and regulation.,A022385, Timothy  A Perry, Perry White Ross & Jacobson, 28 Walker Avenue, Real Estate Development,1,Gaming,,,,,,,,,,,,,
,A022387, Timothy  A Perry, Perry White Ross & Jacobson, Acorn Health, Health Care,1,Health Care Facilities and Regulation,,,,,,,,,,,,,
"Matters impacting the manufacturing and sale of tobacco products, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022389, Timothy  A Perry, Perry White Ross & Jacobson," Altria Client Services LLC and its Affiliates - Philip Morris USA Inc., John Middleton Co., and U.S. Smokeless Tobacco Company Co., and Helix Innvovations LLC", Tobacco Manufacturer,1,Other,tobacco,,,,,,,,,,,,
"Matters impacting the manufacturing and sale of alcoholic beverages, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022391, Timothy  A Perry, Perry White Ross & Jacobson, Anheuser-Busch Companies, Beer & all related businesses,1,Alcoholic Beverages - Local Bills,,2,Alcoholic Beverages - Statewide Bills,,,,,,,,,,
Matters impacting the practice of dentistry.,A022393, Timothy  A Perry, Perry White Ross & Jacobson, Association of Dental Support Organizations, Trade Organization for Dental Practice Management and Support,1,Other,Dentistry,,,,,,,,,,,,
"Matters impacting public safety, energy device and law enforcement boy cameras.",A022395, Timothy  A Perry, Perry White Ross & Jacobson," Axon Enterprise, Inc.", Safety technology,1,Public Safety,,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations, corporate tax and governance.",A022397, Timothy  A Perry, Perry White Ross & Jacobson, Beatty Development Group LLC, Real Estate,1,Real Property,,,,,,,,,,,,,
Matters impacting the state procurement for fuel consumption of the state fleet.,A022399, Timothy  A Perry, Perry White Ross & Jacobson," Carroll Independent Fuel, LLC", Fuel,1,Energy,Fuel Policy,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations, matters of corporate tax and governance.",A022401, Timothy  A Perry, Perry White Ross & Jacobson, Caves Valley Partners, Real Estate Owners / Developers,1,Real Property,,,,,,,,,,,,,
"Legislative and budgetary matters impacting the information technology industry, matters of state procurement law, matters or corporate tax and governance policy, matters of employment law.",A022405, Timothy  A Perry, Perry White Ross & Jacobson, Cisco, Information Technology,1,Other,Technology,,,,,,,,,,,,
Matters impacting the state contract for prison inmate health provision.,A022409, Timothy  A Perry, Perry White Ross & Jacobson," Corizon Health, Inc.", Correctional Medical Services,1,Health Care Facilities and Regulation,,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriation, corporate tax and governance.",A022411, Timothy  A Perry, Perry White Ross & Jacobson, Cross Street Partners, Real Estate,1,Real Property,,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriation, corporate tax and governance.",A022411, Timothy  A Perry, Perry White Ross & Jacobson, Cross Street Partners, Real Estate,1,Real Property,,,,,,,,,,,,,
"Matters impacting the restaurant and hospitality industry, sale of alcohol, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022413, Timothy  A Perry, Perry White Ross & Jacobson," Darden, Inc.", Restaurants,1,Other,Restaurants,,,,,,,,,,,,
Matters impacting commercial recycling and remediation.,A022417, Timothy  A Perry, Perry White Ross & Jacobson, Sun Service LLC,  Waste Management and Recycling Service,1,Other,Waste Management and Recycling Services,,,,,,,,,,,,
"Matters impacting health care provision in hospital and related facilities, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022419, Timothy  A Perry, Perry White Ross & Jacobson, Mercy Medical Center, Health care,1,Health Care Facilities and Regulation,,,,,,,,,,,,,
Matters impacting private non-emergency ambulance transportation.,A022421, Timothy  A Perry, Perry White Ross & Jacobson," ModivCare Solutions, LLC", Health Care,1,Health Care Facilities and Regulation,,2,Health Occupations,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations, corporate tax and governance.",A022423, Timothy  A Perry, Perry White Ross & Jacobson, Natelli Communities, Real Estate Development,1,Real Property,,,,,,,,,,,,,
Matters impacting the capital budget.,A022425, Timothy  A Perry, Perry White Ross & Jacobson, Next One Up, Youth Mentorship,1,Children,Youth Mentoring,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations, corporate tax and governance policy.",A022427, Timothy  A Perry, Perry White Ross & Jacobson, Peterson Companies, Developer,1,Real Property,,,,,,,,,,,,,
Matters impacting the manufacturing and sales of electric vehicles.,A022429, Timothy  A Perry, Perry White Ross & Jacobson," Nissan North America, Inc.", Auto industry,1,Transportation - Generally,,,,,,,,,,,,,
Matters impacting the generation and distribution of electric power.,A022431, Timothy  A Perry, Perry White Ross & Jacobson, Public Service Enterprise Group, Energy Company,1,Energy,,,,,,,,,,,,,
"Legislative and budgetary matters impacting the information technology industry, matters of state procurement law, matters of corporate tax and governance, matters of employment law.",A022433, Timothy  A Perry, Perry White Ross & Jacobson," Pure Storage, Inc.", Information Technology,1,Other,Information Technology,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations, corporate tax and governance policy.",A022437, Timothy  A Perry, Perry White Ross & Jacobson," Allegis, Redwood, Maxim Public Affairs, LLC", Investment,1,Other,Sparrows Point Terminal,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations, corporate tax and governance policy.",A022437, Timothy  A Perry, Perry White Ross & Jacobson," Allegis, Redwood, Maxim Public Affairs, LLC", Investment,1,Other,Sparrows Point Terminal,,,,,,,,,,,,
Matters impacting commercial recycling and remediation.,A022439, Timothy  A Perry, Perry White Ross & Jacobson, Republic Services, Recycling,1,Other,Recycling,,,,,,,,,,,,
,A022441, Timothy  A Perry, Perry White Ross & Jacobson, Science Applications International Corporation (SAIC), Information Technology,1,Other,Information Technology,,,,,,,,,,,,
Matters impacting Medicaid reimbursement rates and related matters.,A022443, Timothy  A Perry, Perry White Ross & Jacobson, Sellers Dorsey & Associates, Health care,1,Health Care Facilities and Regulation,,,,,,,,,,,,,
Matters impacting sports betting legislation and regulation.,A022445, Timothy  A Perry, Perry White Ross & Jacobson, Sports Betting Alliance, Sports Betting / Gaming,1,Gaming,,,,,,,,,,,,,
"Matters impacting higher education, matters involving the Rosewood Campus.",A022447, Timothy  A Perry, Perry White Ross & Jacobson, Stevenson University, Education,1,Education - Miscellaneous,,,,,,,,,,,,,
"Matters impacting the manufacturing and sale of tobacco products, matters of corporate tax policy, matters of employment law and matters of campaign finance law.",A022449, Jenna  McGreevy, Perry White Ross & Jacobson," Altria Client Services LLC and its Affiliates - Philip Morris USA Inc., John Middleton Co., and U.S. Smokeless Tobacco Company Co., and Helix Innvovations LLC", Tobacco Manufacturer,1,Other,tobacco,,,,,,,,,,,,
"Matters impacting the manufacturing and sale of alcoholic beverages, matters of corporate tax policy, matters of employment law and matters of campaign finance law.",A022451, Jenna  McGreevy, Perry White Ross & Jacobson, Anheuser-Busch Companies, Beer & all related businesses,1,Alcoholic Beverages - Local Bills,,2,Alcoholic Beverages - Statewide Bills,,,,,,,,,,
Matters impacting the practice of dentistry.,A022453, Jenna  McGreevy, Perry White Ross & Jacobson, Association of Dental Support Organizations, Trade Organization for Dental Practice Management and Support,1,Other,Dentistry,,,,,,,,,,,,
"Matters impacting telecommunications, digital advertising, media content, matters of corporate tax policy, matters of employment law, and matters of campaign finance law.",A022455, Jenna  McGreevy, Perry White Ross & Jacobson, AT&T, Telecommunications,1,Other,Telecommunications,,,,,,,,,,,,
Matters impacting the capital budget funding of the B&O Rail Museum.,A022457, Jenna  McGreevy, Perry White Ross & Jacobson, B&O Railroad Museum, Museum,1,Other,Museum Issues,,,,,,,,,,,,
"Matters impacting commercial recycling and remediation, matters of corporate tax policy, matters of employment law, and matters of campaign finance law.",A022459, Jenna  McGreevy, Perry White Ross & Jacobson, Baltimore Scrap Corp., Scrap Metal Processing,1,Other,Recycling,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations, and corporate tax and governance policy.",A022461, Jenna  McGreevy, Perry White Ross & Jacobson, Beatty Development Group LLC, Real Estate,1,Real Property,,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations, and corporate tax and governance policy.",A022461, Jenna  McGreevy, Perry White Ross & Jacobson, Beatty Development Group LLC, Real Estate,1,Real Property,,,,,,,,,,,,,
Matters related to energy and fuel policy.,A022463, Jenna  McGreevy, Perry White Ross & Jacobson," Carroll Independent Fuel, LLC", Fuel,1,Energy,Fuel Policy,,,,,,,,,,,,
"Matters impacting the maritime industry, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022465, Jenna  McGreevy, Perry White Ross & Jacobson, Canton Stevedoring, Marine Terminal,1,Transportation - Generally,Ports,,,,,,,,,,,,
"Matters impacting the maritime industry, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022465, Jenna  McGreevy, Perry White Ross & Jacobson, Canton Stevedoring, Marine Terminal,1,Transportation - Generally,Ports,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations, and corporate tax and governance policy, capital budget matters relating to the cross street market.",A022467, Jenna  McGreevy, Perry White Ross & Jacobson, Caves Valley Partners, Real Estate Owners / Developers,1,Real Property,,,,,,,,,,,,,
Matters impacting local governance.,A022469, Jenna  McGreevy, Perry White Ross & Jacobson, Chesapeake Beach, Municipality,1,Other,Issues related to local governance,,,,,,,,,,,,
"Legislative and budgetary matters impacting the information technology industry, matters of state procurement law, matters of corporate tax policy, matters of employment law, and matters of campaign finance law.",A022471, Jenna  McGreevy, Perry White Ross & Jacobson, Cisco, Information Technology,1,Other,Technology,,,,,,,,,,,,
Monitor state workers compensation law and policy.,A022473, Jenna  McGreevy, Perry White Ross & Jacobson, Concentra, Health Care,1,Health Care Facilities and Regulation,,,,,,,,,,,,,
Matters impacting the state contract for prison inmate healthcare provision.,A022475, Jenna  McGreevy, Perry White Ross & Jacobson," Corizon Health, Inc.", Correctional Medical Services,1,Health Care Facilities and Regulation,,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations and corporate tax and governance policy.",A022477, Jenna  McGreevy, Perry White Ross & Jacobson, Cross Street Partners, Real Estate,1,Real Property,,,,,,,,,,,,,
Matters impacting the manufacturing and sale of electric vehicles.,A022479, Jenna  McGreevy, Perry White Ross & Jacobson," Nissan North America, Inc.", Auto industry,1,Transportation - Generally,,,,,,,,,,,,,
"Matters impacting the manufacturing and sale of pharmaceuticals, matters of corporate tax policy, matters of employment law, and matters of campaign finance law.",A022481, Jenna  McGreevy, Perry White Ross & Jacobson," Novartis Services, Inc.", Pharmaceutical Manufacturer,1,Health Care Facilities and Regulation,,,,,,,,,,,,,
"Matters impacting the manufacturing and sale of pharmaceuticals, matters of corporate tax policy, matters of employment law, and matters of campaign finance law.",A022481, Jenna  McGreevy, Perry White Ross & Jacobson," Novartis Services, Inc.", Pharmaceutical Manufacturer,1,Health Care Facilities and Regulation,,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations, corporate tax and governance policy.",A022483, Jenna  McGreevy, Perry White Ross & Jacobson, Peterson Companies, Developer,1,Real Property,,,,,,,,,,,,,
All matters relative to the legislation and regulation of the pharmaceutical industry.,A022485, Jenna  McGreevy, Perry White Ross & Jacobson, Pharmaceutical Research & Manufacturers of America, Pharmaceuticals,1,Other,Pharmaceuticals,,,,,,,,,,,,
"Matters impacting the state contract for operations at the Port of Baltimore, matters of corporate tax policy, matters of employment law, and matters of campaign finance law.",A022487, Jenna  McGreevy, Perry White Ross & Jacobson, Ports America Chesapeake, Ports,1,Other,Ports,,,,,,,,,,,,
"Matters impacting the lawn & garden care industry, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022491, Jenna  McGreevy, Perry White Ross & Jacobson, Scotts Miracle-Gro Company, Lawn and garden care,1,Other,Lawn & Garden Care,,,,,,,,,,,,
"Matters impacting private higher education, matters related to the Rosewood Campus.",A022495, Jenna  McGreevy, Perry White Ross & Jacobson, Stevenson University, Education,1,Education - Miscellaneous,,,,,,,,,,,,,
"Matters impacting commercial recycling remediation, matters of corporate tax policy, matters of employment law and matters of campaign finance law.",A022497, Jenna  McGreevy, Perry White Ross & Jacobson, Sun Service LLC,  Waste Management and Recycling Service,1,Other,Waste Management and Recycling Services,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations and corporate tax and governance policy.",A022499, Jenna  McGreevy, Perry White Ross & Jacobson, Stewart Companies, Real Estate,1,Real Property,,,,,,,,,,,,,
"Matters impacting commercial transportation services, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022501, Jenna  McGreevy, Perry White Ross & Jacobson," Uber Technologies, Inc.", Technology,1,Other,Technology,,,,,,,,,,,,
"Matters impacting commercial, small group, and individual health insurance, matters of corporate tax policy, matters of employment law, and matters of campaign finance law.",A022503, Jenna  McGreevy, Perry White Ross & Jacobson," United Healthcare Services, Inc.", Health care,1,Health Care Facilities and Regulation,,2,Health Maintenance Organizations,,,,,,,,,,
Matters impacting the state concessionnaire procurement at BWI airport.,A022505, Jenna  McGreevy, Perry White Ross & Jacobson, Vantage Airport Group, Airport Management Company,1,Other,Airport Management,,,,,,,,,,,,
"Matters impacting the manufacturing, sale and distribution of chemicals, matters of corporate tax policy, matters of employment law and matters of campaign finance law.",A022507, Jenna  McGreevy, Perry White Ross & Jacobson, W.R. Grace & Co., Specialty chemicals,1,Other,Specialty Chemicals,,,,,,,,,,,,
Monitor state workers compensation law and policy.,A022509, Timothy  A Perry, Perry White Ross & Jacobson, Concentra, Health Care,1,Health Care Facilities and Regulation,,,,,,,,,,,,,
Matters impacting vehicle emissions testing.,A022511, Timothy  A Perry, Perry White Ross & Jacobson, Envirotest Systems Holdings Corp., Vehicle Emission Inspection Company,1,Environment,,,,,,,,,,,,,
"Legislative and budgetary matters impacting the information technology industry, matters of state procurement law, matters of corporate tax and governance policy.",A022513, Timothy  A Perry, Perry White Ross & Jacobson, Ernst & Young, Accounting Firm,1,Other,"Assurance, Tax, Advisory, Transaction Advisory Services",,,,,,,,,,,,
"Matters impacting health care provision in hospital and related facilities, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022517, Timothy  A Perry, Perry White Ross & Jacobson, Fusion Health, Health Records,1,Health Care Facilities and Regulation,,,,,,,,,,,,,
"Matters impacting the generation and distribution of electric power, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022519, Timothy  A Perry, Perry White Ross & Jacobson," GenOn Mid-Atlantic, Inc.", Energy Generation,1,Energy,,,,,,,,,,,,,
Capital budget matters impacting the Stadium Place hospice care facility.,A022521, Timothy  A Perry, Perry White Ross & Jacobson, Gilchrist Hospice, Health care,1,Health Care Facilities and Regulation,,,,,,,,,,,,,
Matters impacting environmental remediation services.,A022523, Timothy  A Perry, Perry White Ross & Jacobson, Greenvest, Environmental Business,1,Environment,,,,,,,,,,,,,
"Matters impacting public sector, public works and civil engineering projects.",A022525, Timothy  A Perry, Perry White Ross & Jacobson," HDR Engineering, Inc."," Engineering, Architecture and Consulting",1,Other,"Engineering, Architecture and Consulting",,,,,,,,,,,,
"Matters impacting health care provision in hospital and related facilities, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022527, Timothy  A Perry, Perry White Ross & Jacobson," Holy Cross Health, Inc.", Hospital,1,Health Care Facilities and Regulation,,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations, corporate tax and governance policy.",A022529, Timothy  A Perry, Perry White Ross & Jacobson, Konterra Realty, Real Estate Development,1,Real Property,,,,,,,,,,,,,
"Matters impacting affordable Housing, capital appropriations, corporate tax and governance policy",A022531, Timothy  A Perry, Perry White Ross & Jacobson, Maryland Affordable Housing Coalition, Real Estate,1,Real Property,,,,,,,,,,,,,
"Matters impacting the horse breeding and racing industry, sports betting legislation and regulation.",A022533, Timothy  A Perry, Perry White Ross & Jacobson, Maryland Horse Breeders Association, Horse Breeders Association,1,Horse Racing,,,,,,,,,,,,,
Matters impacting the state highway contract for the expansion of I270/495 and the construction of the American Legion Bridge.,A022535, Timothy  A Perry, Perry White Ross & Jacobson, Transurban, Transportation,1,Transportation - Generally,,,,,,,,,,,,,
Matters impacting the production and distribution of cannabis.,A022537, Eddie L.  Pounds, Perry White Ross & Jacobson, Grow West MD LLC, Cannabis,1,Other,Cannabis,,,,,,,,,,,,
Matters impacting the state contract for management of BWI airport.,A022539, Timothy  A Perry, Perry White Ross & Jacobson, Vantage Airport Group, Airport Management Company,1,Other,Airport Management,,,,,,,,,,,,
"Matters impacting the manufacturing, sale and distribution of chemicals, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022541, Timothy  A Perry, Perry White Ross & Jacobson, W.R. Grace & Co., Specialty chemicals,1,Other,Specialty Chemicals,,,,,,,,,,,,
Matters impacting the production and distribution of cannabis.,A022543, Eddie L.  Pounds, Perry White Ross & Jacobson," GTI Maryland, LLC", Medical Cannabis,1,Other,Medical Cannabis,,,,,,,,,,,,
"Matters impacting public sector, public works and civil engineering projects.",A022545, Eddie L.  Pounds, Perry White Ross & Jacobson," HDR Engineering, Inc."," Engineering, Architecture and Consulting",1,Other,"Engineering, Architecture and Consulting",,,,,,,,,,,,
"Matters impacting health care provision in hospital and related settings, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022547, Eddie L.  Pounds, Perry White Ross & Jacobson," Holy Cross Health, Inc.", Hospital,1,Health Care Facilities and Regulation,,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations, corporate tax and governance policy.",A022549, Eddie L.  Pounds, Perry White Ross & Jacobson, Howard Hughes Corporation, Real Estate,1,Real Property,Real Estate,,,,,,,,,,,,
Legislation related to energy and the environment.,A022551, Pamela M Kasemeyer," Schwartz, Metz, Wise & Kauffman P.A.", Baltimore Gas and Electric Company, Energy products and services,1,Energy,,2,Environment,,,,,,,,,,
"Matters impacting the generation and distribution of natural gas, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022553, Eddie L.  Pounds, Perry White Ross & Jacobson, Washington Gas, Energy Products and Services,1,Energy,,,,,,,,,,,,,
"Matters impacting the retail grocery business, retail sales of alcohol in grocery stores, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022555, Eddie L.  Pounds, Perry White Ross & Jacobson," Wegmans Food Markets, Inc.", Supermarket,1,Other,Supermarkets,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations and corporate tax and governance policy.",A022557, Josh  White, Perry White Ross & Jacobson, 28 Walker Associates LLC, Real estate development,1,Real Property,,,,,,,,,,,,,
Matters impacting mail order workers compensation pharmaceuticals.,A022559, Eddie L.  Pounds, Perry White Ross & Jacobson, IWP (Injured Workers Pharmacy), National Pharmacy Service,1,Other,Pharmacists and Pharmacies,,,,,,,,,,,,
SB603 Alternatives to security deposit.,A022561, Eddie L.  Pounds, Perry White Ross & Jacobson," LeaseLock, Inc.", Insurance and Financial Issues,1,Insurance - Other than Health,,,,,,,,,,,,,
HB 355; HB 721; HB 862; HB 1001; SB 171; HB 128; HB 181; SB 197; SB 530; HB 903; SB 816; HB 314,A022563, Bryson F Popham," Bryson F. Popham, PA", Agency Insurance Company of Maryland, Automobile Insurance,1,Insurance - Other than Health,,2,Commercial Law - Consumer Protection,,3,Corporations and Associations,,4,Private Sector Labor and Industry,,5,Other,Preserve and protect the client’s interest before State and Executive agencies on matters affecting operations in the State.
Matters impacting sports betting legislation and regulation.,A022565, Josh  White, Perry White Ross & Jacobson, 28 Walker Avenue, Real Estate Development,1,Gaming,,,,,,,,,,,,,
Matters impacting the production and distribution of cannabis.,A022567, Eddie L.  Pounds, Perry White Ross & Jacobson," MaryMed, LLC", Medical Cannabis Licensing,1,Other,Cannabis Law,,,,,,,,,,,,
"Matters impacting the manufacturing and sales of pharmaceuticals, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022569, Eddie L.  Pounds, Perry White Ross & Jacobson," Novartis Services, Inc.", Pharmaceutical Manufacturer,1,Health Care Facilities and Regulation,,,,,,,,,,,,,
Issues related to health care regulations and legislation.,A022571, Josh  White, Perry White Ross & Jacobson, America's Agenda, Health care consulting,1,Other,Health Care Consulting,,,,,,,,,,,,
Matters impacting commercial recycling and remediation.,A022573, Josh  White, Perry White Ross & Jacobson, Baltimore Scrap Corp., Scrap Metal Processing,1,Other,Recycling,,,,,,,,,,,,
"Matters impacting the state contract for operations at the Port of Baltimore, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022575, Eddie L.  Pounds, Perry White Ross & Jacobson, Ports America Chesapeake, Ports,1,Other,Ports,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations, corporate tax and governance policy.",A022577, Josh  White, Perry White Ross & Jacobson, Beatty Development Group LLC, Real Estate,1,Real Property,,,,,,,,,,,,,
Monitor state workers compensation law and policy.,A022579, Josh  White, Perry White Ross & Jacobson, Concentra, Health Care,1,Health Care Facilities and Regulation,,,,,,,,,,,,,
Matters impacting the employment of corrections officers.,A022581, Eddie L.  Pounds, Perry White Ross & Jacobson, Prince George's County Correctional Officers Association, Labor Organization,1,Public Safety,Corrections,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations, matters of tax and governance policy.",A022583, Josh  White, Perry White Ross & Jacobson, Cross Street Partners, Real Estate,1,Real Property,,,,,,,,,,,,,
"Matters impacting the sale and distribution of health and personal care products, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022585, Eddie L.  Pounds, Perry White Ross & Jacobson, Procter & Gamble, Consumer Products,1,Other,Consumer Products,,,,,,,,,,,,
"Matters impacting the generation and distribution of electric power, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A022587, Eddie L.  Pounds, Perry White Ross & Jacobson, Public Service Enterprise Group, Energy Company,1,Energy,,,,,,,,,,,,,
"Matters impacting the real estate development industry, capital appropriations, corporate tax and governance policy.",A022589, Eddie L.  Pounds, Perry White Ross & Jacobson," Allegis, Redwood, Maxim Public Affairs, LLC", Investment,1,Other,Sparrows Point Terminal,,,,,,,,,,,,
  HB 355; HB 721; HB 862; HB 1001; SB 171; HB 128; HB 181; SB 197; SB 530; HB 903; SB 816; HB 314.,A022591, Bryson F Popham," Bryson F. Popham, PA"," Agency Services, Inc., care of Bryson F. Popham, P.A.", Insurance,1,Insurance - Other than Health,,2,Commercial Law - Credit Regulation,,3,Commercial Law - Consumer Protection,,4,Private Sector Labor and Industry,,5,Other,Preserve and protect the client’s interest before State and Executive agencies on matters affecting operations in the State.
HB 6; HB 841; SB 197; HB 181; SB 970; HB 1292,A022593, Bryson F Popham," Bryson F. Popham, PA", Building Owners and Managers Association of Greater Baltimore (BOMA), Trade Association,1,Real Property,,2,Private Sector Labor and Industry,,3,Commercial Law - Generally,,4,Energy,,5,Other,Preserve and protect the client’s interest before State and Executive agencies on matters affecting operations in the State.
HB 767; HB 1162; SB 83; HB 15; SB 553; HB 554,A022595, Bryson F Popham," Bryson F. Popham, PA", Army Alliance, Trade Association,1,Education - Miscellaneous,,2,State Pensions and Retirement,,3,Other,Preserve and protect the client’s interest before State and Executive agencies on matters affecting operations in the State.,,,,,,
,A022597, William Allen Kress, Kress Hammen Government Affairs, Chesapeake Employers' Insurance Company, Insurance,1,Workers' Compensation,,,,,,,,,,,,,
,A022599, Dennis H. Parkinson, The Rasmussen Group LLC," Rasmussen Group LLC, The", Government Relations & Advocacy,1,State Government - General Assembly,,2,"State Government - Agencies, Offices, and Officials",,3,Local Government - Generally,,4,Capital Budget,,5,Operating Budget,
HB 357; HB 374; SB 59; HB 107; SB 308; HB 305; SB 415; HB 658; SB 500; HB 604,A022601, Bryson F Popham," Bryson F. Popham, PA", Maryland Association of Health Underwriters (MAHU), Trade Association,1,Insurance - Health,,2,Insurance - Other than Health,,3,Private Sector Labor and Industry,,4,Commercial Law - Consumer Protection,,5,Other,Preserve and protect the client’s interest before State and Executive agencies on matters affecting operations in the State.
HB 355; HB 721; HB 862; HB 1001; SB 171; HB 128; HB 181; SB 197; SB 530; HB 903; SB 816; HB 314,A022603, Bryson F Popham," Bryson F. Popham, PA", Selective Insurance Company, Property and Casualty insurance company,1,Insurance - Other than Health,,2,Commercial Law - Consumer Protection,,3,Private Sector Labor and Industry,,4,Workers' Compensation,,5,Other,Selective Insurance Company of America
HB 355; HB 721; HB 862; HB 1001; SB 171; HB 128; HB 181; SB 197; SB 530; HB 903; SB 816; HB 314,A022605, Bryson F Popham," Bryson F. Popham, PA", Progressive Insurance Company, Property and Casualty insurance,1,Insurance - Other than Health,,2,Commercial Law - Consumer Protection,,3,Private Sector Labor and Industry,,4,Commercial Law - Generally,,5,Other,Preserve and protect the client’s interest before State and Executive agencies on matters affecting operations in the State.
,A022607, Andrew  Sinclair, Exxon Mobil Corporation, Exxon Mobil Corporation, Major Integrated Oil & Gas,1,Energy,,,,,,,,,,,,,
,A022608, Andrew  Sinclair, Exxon Mobil Corporation, Exxon Mobil Corporation, Major Integrated Oil & Gas,1,Energy,,,,,,,,,,,,,
,A022609, Stephanie Pratt Anderson," O'Malley, Miles, Nylen & Gilmore, P.A."," Horizon Foundation of Howard County, Inc., The", Non-Profit,1,Public Health,,,,,,,,,,,,,
,A022611, Stephanie Pratt Anderson," O'Malley, Miles, Nylen & Gilmore, P.A."," Bowie Baysox Baseball Club, LLC", Minor League Baseball,1,Other,Funding for Minor League Baseball Stadium,,,,,,,,,,,,
,A022613, Andrew  Jennison," CGI Technologies & Solutions, Inc.", CGI Technologies and Solutions Inc., Software and IT Services,1,Other,Information technology; Procurement; Budget System; Finance System,,,,,,,,,,,,
"HB 631 / SB 470 Maryland the Beautiful Act; HB 503 / SB 923 Natural Resources - Greenspace Equity Program - Establishment; HB 9/SB 19 Equity in the Transportation Sector; HB 908 / SB 613 Electricity – Community Solar Energy Generating Systems Program; HB169/ SB144 Public Utilities - Energy Efficiency and Conservation Programs; HB 793/ SB 781 Offshore Wind Energy; HB 723/ SB 526 Natural Resources – Forest Preservation and Retention; HB230/ SB224 Clean Truck Act of 2023; HB6 / SB92 Maryland Sustainable Buildings Act of 2023; HB12/ SB151 Equitable and Inclusive Transit-Oriented Development Enhancement Act; HB200 / SB 181 Budget Bill FY24; SB 433 Aquaculture - Economic Development - Woman- and Minority-Owned Shellfish Aquaculture Enterprise Fund; HB 1254 / SB 434 Aquaculture - Natural Resources - Restorative Aquaculture Pilot Program; HB 289/ SB 282 Maryland Forestry Education Fund; HB 493 Department of Commerce - Office of Climate Change Assistance for Small Businesses; HB 983 / SB 327 Hunting, Wildlife Conservation, and Outdoor Recreation - Funding, Promotion, Management, Licenses, Permits, and Stamps; HB 525 Outdoor Preschool License Pilot Program; HB 550/ SB 548 Clean Transportation and Energy Act; HB 188 / SB 320 Natural Resources - Wildlife Advisory Commission - Membership; SB 469 Task Force to Study Solar Tax Incentives; HB 843 / SB 880 Baltimore Regional Water Governance Task Force",A022615, Michelle  Dietz, The Nature Conservancy," Nature Conservancy, The", Conservation Non-profit,1,Environment,,2,Agriculture,,3,Energy,,4,Natural Resources - Generally,,5,Capital Budget,
